15
O,O,O,O,O,O,#,#,#,#,#,#,#,#,#,#,#,#,#,#,O,O,O,O,O,O
O,#,#,#,#,#,#,#,#,#,#,#,E,#,#,#,#,#,#,#,#,#,#,#,#,O
O,#,#,O,O,#,#,#,O,O,#,O,O,O,#,O,O,#,#,#,O,O,#,#,#,O
O,#,O,O,O,#,#,#,O,O,#,O,O,O,#,O,O,#,#,#,O,O,O,#,#,O
O,#,O,O,O,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,O,O,O,#,#,O
O,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,O
#,#,#,#,#,#,E,#,#,#,#,#,E,#,#,#,#,#,E,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,O,O,#,#,#,#,O,O,O,O,#,O,O,O,O,#,#,#,#,O,O,#,#
#,#,#,O,O,#,#,#,#,O,O,O,#,#,#,O,O,O,#,#,#,#,O,O,#,#
#,#,#,#,#,#,#,#,#,O,O,#,#,#,#,#,O,O,#,#,#,#,#,#,#,#
#,#,#,O,O,#,#,#,#,O,#,#,#,#,#,#,#,O,#,#,#,#,O,O,#,#
#,#,#,O,#,#,#,#,#,#,#,#,#,O,#,#,#,#,#,#,#,#,#,O,#,#
#,#,#,O,O,#,#,#,#,O,#,#,#,#,#,#,#,O,#,#,#,#,O,O,#,#
#,#,#,#,#,#,#,#,#,O,O,#,#,#,#,#,O,O,#,#,#,#,#,#,#,#
#,#,#,O,O,#,#,#,#,O,O,O,#,#,#,O,O,O,#,#,#,#,O,O,#,#
#,#,#,O,O,#,#,#,#,O,O,O,O,#,O,O,O,O,#,#,#,#,O,O,#,#
#,#,#,O,O,#,#,#,#,O,O,O,O,#,O,O,O,O,#,#,#,#,O,O,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,I,#,#,#,#,#,#,#,#,#,#,#,#
O,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,O
O,#,O,O,O,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,O,O,O,#,#,O
O,#,O,O,O,#,#,#,O,O,#,O,O,O,#,O,O,#,#,#,O,O,O,#,#,O
O,#,#,O,O,#,#,#,O,O,#,O,O,O,#,O,O,#,#,#,O,O,#,#,#,O
O,#,#,#,#,#,#,#,#,#,#,#,E,#,#,#,#,#,#,#,#,#,#,#,#,O
O,O,O,O,O,O,#,#,#,#,#,#,#,#,#,#,#,#,#,#,O,O,O,O,O,O
